PC,Inst Name,Jump?,Jump Addr
0x2692,"JP NZ,$26E5",1,0x26E5
0x26A0,"JR Z,$266D  [-53]",1,0x266D
0x26A4,"JR Z,$2671  [-53]",1,0x2671
0x26A8,"JR Z,$2675  [-53]",1,0x2675
0x26CB,"JR Z,$26E5  [+24]",1,0x26E5
0x26DA,"JR Z,$26E5  [+9]",1,0x26E5
0x40C5,"JR Z,$40E4  [+29]",1,0x40E4
0x2C3,"JR Z,$02E9  [+36]",1,0x2E9
0x314,"JP NZ,$03B4",1,0x3B4
0x341,"JR Z,$036E  [+43]",1,0x36E
0x347,"JR Z,$034A  [+1]",1,0x34A
0x356,"JR Z,$035C  [+4]",1,0x35C
0x363,"JR Z,$036E  [+9]",1,0x36E
0x367,"JR Z,$036B  [+2]",1,0x36B
0x374,"JR NZ,$0395  [+31]",1,0x395
0x3BC,"JP NZ,$0486",1,0x486
0x35A,"JR Z,$036E  [+18]",1,0x36E
0x4F6C,"JR NC,$4F39  [-53]",1,0x4F39
0xC94,"JR NZ,$0CC7  [+49]",1,0xCC7
0xC9B,"CALL Z,$86C6",1,0x86C6
0xC9F,"JR NC,$0CA2  [+1]",1,0xCA2
0xCAA,"CALL Z,$4EC6",1,0x4EC6
0xCBF,"JR NZ,$0CC1  [+0]",1,0xCC1
0x15DAA,"JP NZ,$60D5",1,0x60D5
0x15DB2,"JP NZ,$60D5",1,0x60D5
0x2B2E,"JR NZ,$2B45  [+21]",1,0x2B45
0x2B37,"JR NZ,$2B45  [+12]",1,0x2B45
0x66B0,"JP Z,$674F",1,0x674F
0x2B69,"JR Z,$2B74  [+9]",1,0x2B74
0x15DCD,"JP NZ,$6178",1,0x6178
0x15DE8,"JR NZ,$5DF2  [+8]",1,0x5DF2
0x15DEF,"JP NZ,$5E53",1,0x5E53
0x15DF4,"JR NZ,$5E03  [+13]",1,0x5E03
0x15E11,RET NZ,0,0x0
0x15E24,RET Z,0,0x0
0x450C,"JP Z,$45B5",1,0x45B5
0x4543,"JP Z,$45AF",1,0x45AF
0x454A,"JR NZ,$455C  [+16]",1,0x455C
0x4559,"JP Z,$45AF",1,0x45AF
0x4567,"JR Z,$4534  [-53]",1,0x4534
0x456B,"JR Z,$4538  [-53]",1,0x4538
0x456F,"JR Z,$453C  [-53]",1,0x453C
0x4581,"JR Z,$454E  [-53]",1,0x454E
0x4585,"JR Z,$4552  [-53]",1,0x4552
0x4589,"JR Z,$4556  [-53]",1,0x4556
0x4590,"JR Z,$45A2  [+16]",1,0x45A2
0x459C,"JR NZ,$45AF  [+17]",1,0x45AF
0x45A8,"JR NZ,$45AF  [+5]",1,0x45AF
0x15E2F,"JR Z,$5E4C  [+27]",1,0x5E4C
0x97A,"JR Z,$0994  [+24]",1,0x994
0x980,"CALL NZ,$96C6",1,0x96C6
0x983,"JR Z,$0994  [+15]",1,0x994
0x98C,"JR Z,$0994  [+6]",1,0x994
0x992,"JR NZ,$0999  [+5]",1,0x999
0x99A,"CALL NZ,$4EC6",1,0x4EC6
0x9BC,"JP NZ,$86C6",1,0x86C6
0x15E41,"JR NZ,$5E4C  [+9]",1,0x5E4C
0x15E45,"JR NZ,$5E4C  [+5]",1,0x5E4C
0x15FEA,"JR Z,$5FF2  [+6]",1,0x5FF2
0x478A,"JP Z,$48A9",1,0x48A9
0x47C1,"JP Z,$48A3",1,0x48A3
0x47C8,"JR NZ,$47DA  [+16]",1,0x47DA
0x47D7,"JP Z,$48A3",1,0x48A3
0x4807,"JR Z,$4810  [+7]",1,0x4810
0x4812,"JR Z,$4815  [+1]",1,0x4815
0x4815,"JP C,$48A3",1,0x48A3
0x481C,"JR NC,$481F  [+1]",1,0x481F
0x482B,"JR Z,$4834  [+7]",1,0x4834
0x4836,"JR Z,$4839  [+1]",1,0x4839
0x4839,"JP C,$48A3",1,0x48A3
0x486B,"JR Z,$4874  [+7]",1,0x4874
0x4876,"JR Z,$4879  [+1]",1,0x4879
0x4879,"JR C,$48A3  [+40]",1,0x48A3
0x487A,"JR Z,$48F4  [+120]",1,0x48F4
0x487F,"JR NC,$4882  [+1]",1,0x4882
0x488E,"JR Z,$4897  [+7]",1,0x4897
0x4899,"JR Z,$489C  [+1]",1,0x489C
0x489C,"JR C,$48A3  [+5]",1,0x48A3
0x15FF2,"JP Z,$6027",1,0x6027
0x1602C,"JR NZ,$6036  [+8]",1,0x6036
0x16033,"JP NZ,$60D5",1,0x60D5
0x1603C,"JP Z,$60D5",1,0x60D5
0x160D9,"JP Z,$6178",1,0x6178
0x160E2,"JP NZ,$6128",1,0x6128
0x160E3,"JR Z,$6146  [+97]",1,0x6146
0x1C14,"JR Z,$1C1A  [+4]",1,0x1C1A
0x1C1E,"JP NZ,$1C84",1,0x1C84
0x1C26,"JP Z,$1C84",1,0x1C84
0x1C2E,"JP Z,$1C84",1,0x1C84
0x1C45,"JP Z,$1C77",1,0x1C77
0x1C81,"JP NZ,$1C41",1,0x1C41
0x1C5B,"JR Z,$1C77  [+26]",1,0x1C77
0x3CB,"JR NZ,$03DE  [+17]",1,0x3DE
0x3D9,"JR NZ,$03DE  [+3]",1,0x3DE
0x3EA,"JR Z,$03FF  [+19]",1,0x3FF
0x407,"JR Z,$042F  [+38]",1,0x42F
0x43D,"JR NZ,$0444  [+5]",1,0x444
0x15DFB,"JP NZ,$5E53",1,0x5E53
0x15E00,"JP Z,$5E53",1,0x5E53
0x15E58,"JR NZ,$5E62  [+8]",1,0x5E62
0x15E5F,"JP NZ,$5ED7",1,0x5ED7
0x15E64,"JR NZ,$5E73  [+13]",1,0x5E73
0x15E6B,"JP NZ,$5ED7",1,0x5ED7
0x15E70,"JP Z,$5ED7",1,0x5ED7
0x15EE2,"JR NZ,$5EEC  [+8]",1,0x5EEC
0x15EE9,"JP NZ,$5F4A",1,0x5F4A
0x15EEE,"JR NZ,$5EFD  [+13]",1,0x5EFD
