PC,"Inst Name",Jump?,Jump Addr
0x2454,"ADD HL,BC",0,0x0
0x2455,"LD A,(HL+)",0,0x0
0x2456,"LD H,(HL)",0,0x0
0x2457,"LD L,A",0,0x0
0x2458,"PUSH HL",0,0x0
0x2459,"PUSH BC",0,0x0
0x245A,"CALL $308D",1,0x308D
0x245B,"ADC A,L",0,0x0
0x245D,"ADD SP,+4",0,0x0
0x245E,"INC B",0,0x0
0x245F,"LD C,E",0,0x0
0x2460,"LD B,D",0,0x0
0x2461,"LD A,C",0,0x0
0x2462,"LD HL,$C6BE",1,0xC6BE
0x2463,"CP (HL)",0,0x0
0x2465,"ADD A,(HL)",0,0x0
0x2466,"LD C,A",0,0x0
0x2467,"LD A,B",0,0x0
0x2468,"INC HL",0,0x0
0x2469,"ADC A,(HL)",0,0x0
0x246A,"LD B,A",0,0x0
0x246B,"LD HL,(SP+7)",0,0x0
0x246C,"RLCA",0,0x0
0x246D,"LD A,(HL+)",0,0x0
0x246E,"LD H,(HL)",0,0x0
0x246F,"LD L,A",0,0x0
0x2470,"ADD HL,BC",0,0x0
0x2471,"LD A,L",0,0x0
0x2472,"LD D,H",0,0x0
0x2473,"LD HL,$CA8B",1,0xCA8B
0x2474,"ADC A,E",0,0x0
0x2476,"LD (HL+),A",0,0x0
0x2477,"LD (HL),D",0,0x0
0x2478,"LD HL,(SP+7)",0,0x0
0x2479,"RLCA",0,0x0
0x247A,"LD E,(HL)",0,0x0
0x247B,"INC HL",0,0x0
0x247C,"LD D,(HL)",0,0x0
0x247D,"LD HL,$0017",1,0x17
0x247E,"RLA",0,0x0
0x2480,"ADD HL,DE",0,0x0
0x2481,"INC SP",0,0x0
0x2482,"INC SP",0,0x0
0x2483,"PUSH HL",0,0x0
0x2484,"LD HL,(SP+4)",0,0x0
0x2485,"INC B",0,0x0
0x2486,"LD (HL),$01",0,0x0
0x2487,"LD BC,$CB21",1,0xCB21
0x2488,"LD HL,$C6CB",1,0xC6CB
0x2489,"SET 0 (HL)",0,0x0
0x248B,"LD A,(HL)",0,0x0
0x248C,"LD HL,(SP+4)",0,0x0
0x248D,"INC B",0,0x0
0x248E,"SUB (HL)",0,0x0
0x248F,"JP Z,$2515",1,0x2515
0x2490,"DEC D",0,0x0
0x2492,"LD HL,(SP+4)",0,0x0
0x2493,"INC B",0,0x0
0x2494,"LD C,(HL)",0,0x0
0x2495,"LD B,$00",0,0x0
0x2496,"NOP",0,0x0
0x2497,"LD L,C",0,0x0
0x2498,"LD H,B",0,0x0
0x2499,"ADD HL,HL",0,0x0
0x249A,"ADD HL,HL",0,0x0
0x249B,"ADD HL,BC",0,0x0
0x249C,"ADD HL,HL",0,0x0
0x249D,"ADD HL,BC",0,0x0
0x249E,"ADD HL,HL",0,0x0
0x249F,"ADD HL,BC",0,0x0
0x24A0,"ADD HL,HL",0,0x0
0x24A1,"LD C,L",0,0x0
0x24A2,"LD B,H",0,0x0
0x24A3,"LD HL,$C0AC",1,0xC0AC
0x24A4,"XOR H",0,0x0
0x24A6,"ADD HL,BC",0,0x0
0x24A7,"LD A,L",0,0x0
0x24A8,"LD D,H",0,0x0
0x24A9,"LD HL,(SP+2)",0,0x0
0x24AA,"LD (BC),A",0,0x0
0x24AB,"LD (HL+),A",0,0x0
0x24AC,"LD (HL),D",0,0x0
0x24AD,"DEC HL",0,0x0
0x24AE,"LD C,(HL)",0,0x0
0x24AF,"INC HL",0,0x0
0x24B0,"LD B,(HL)",0,0x0
0x24B1,"INC BC",0,0x0
0x24B2,"INC BC",0,0x0
0x24B3,"LD L,C",0,0x0
0x24B4,"LD H,B",0,0x0
0x24B5,"LD C,(HL)",0,0x0
0x24B6,"INC HL",0,0x0
0x24B7,"LD B,(HL)",0,0x0
0x24B8,"SRA B",0,0x0
0x24B9,"JR Z,$2486  [-53]",1,0x2486
0x24BA,"RR C",0,0x0
0x24BB,"ADD HL,DE",0,0x0
0x24BC,"SRA B",0,0x0
0x24BD,"JR Z,$248A  [-53]",1,0x248A
0x24BE,"RR C",0,0x0
0x24BF,"ADD HL,DE",0,0x0
0x24C0,"SRA B",0,0x0
0x24C1,"JR Z,$248E  [-53]",1,0x248E
0x24C2,"RR C",0,0x0
0x24C3,"ADD HL,DE",0,0x0
0x24C4,"LD HL,(SP+9)",0,0x0
0x24C5,"ADD HL,BC",0,0x0
0x24C6,"LD A,(HL)",0,0x0
0x24C7,"SUB C",0,0x0
0x24C8,"JP NZ,$250F",1,0x250F
0x24C9,"RRCA",0,0x0
0x250F,"LD HL,(SP+4)",0,0x0
0x2510,"INC B",0,0x0
0x2511,"INC (HL)",0,0x0
0x2512,"JP $2488",1,0x2488
0x2513,"ADC A,B",0,0x0
0x2515,"LD HL,$C6C4",1,0xC6C4
0x2516,"CALL NZ,$4EC6",1,0x4EC6
0x2518,"LD C,(HL)",0,0x0
0x2519,"LD B,$00",0,0x0
0x251A,"NOP",0,0x0
0x251B,"LD HL,(SP+9)",0,0x0
0x251C,"ADD HL,BC",0,0x0
0x251D,"LD A,(HL+)",0,0x0
0x251E,"LD H,(HL)",0,0x0
0x251F,"LD L,A",0,0x0
0x2520,"PUSH HL",0,0x0
0x2521,"PUSH BC",0,0x0
0x2522,"CALL $308D",1,0x308D
0x2523,"ADC A,L",0,0x0
0x2525,"ADD SP,+4",0,0x0
0x2526,"INC B",0,0x0
0x2527,"LD C,E",0,0x0
0x2528,"LD B,D",0,0x0
0x2529,"LD A,C",0,0x0
0x252A,"LD HL,$C6C0",1,0xC6C0
0x252B,"RET NZ",0,0x0
0x252D,"ADD A,(HL)",0,0x0
0x252E,"LD C,A",0,0x0
0x252F,"LD A,B",0,0x0
0x2530,"INC HL",0,0x0
0x2531,"ADC A,(HL)",0,0x0
0x2532,"LD B,A",0,0x0
0x2533,"LD HL,(SP+7)",0,0x0
0x2534,"RLCA",0,0x0
0x2535,"LD A,(HL+)",0,0x0
0x2536,"LD H,(HL)",0,0x0
0x2537,"LD L,A",0,0x0
0x2538,"ADD HL,BC",0,0x0
0x2539,"LD A,L",0,0x0
0x253A,"LD D,H",0,0x0
0x253B,"LD HL,$CA8F",1,0xCA8F
0x253C,"ADC A,A",0,0x0
0x253E,"LD (HL+),A",0,0x0
0x253F,"LD (HL),D",0,0x0
0x2540,"ADD SP,+5",0,0x0
0x2541,"DEC B",0,0x0
0x2542,"RET",0,0x0
0x653C,"ADD SP,+4",0,0x0
0x653D,"INC B",0,0x0
0x653E,"JR $6551  [+17]",1,0x6551
0x653F,"LD DE,$07F8",1,0x7F8
0x65A2,"CALL $230D",1,0x230D
0x65A3,"DEC C",0,0x0
0x230E,"[UNUSED]",0,0x0
0x230F,"LD HL,$CA93",1,0xCA93
0x2310,"SUB E",0,0x0
0x2312,"LD A,(HL)",0,0x0
0x2313,"AND $1F",0,0x0
0x2314,"RRA",0,0x0
0x2315,"LD C,A",0,0x0
0x2316,"PUSH BC",0,0x0
0x2317,"LD HL,$C6BB",1,0xC6BB
0x2318,"CP E",0,0x0
0x231A,"LD A,(HL)",0,0x0
0x231B,"PUSH AF",0,0x0
0x231C,"INC SP",0,0x0
0x231D,"CALL $078D",1,0x78D
0x231E,"ADC A,L",0,0x0
0x2320,"INC SP",0,0x0
0x2321,"POP BC",0,0x0
0x2322,"LD B,$00",0,0x0
0x2323,"NOP",0,0x0
0x2324,"SLA C",0,0x0
0x2325,"LD HL,$10CB",1,0x10CB
0x2326,"RL B",0,0x0
0x2327,"STOP",0,0x0
